http://www.watchfinder.co.uk/Rolex/Daytona/116500%20LN/29594/item/215900,Rolex,Daytona,Daytona,116500 LN,GBP,48995.00,48995.00,"Retail Price: £11,600",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
215900
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
White
","
Water resistance
100 metres
","
                            The Rolex Daytona, named after the race circuit in Florida that hosts the Rolex twenty-four hour race, epitomises the ultimate driver’s watch. The dial, unburdened by a date window, is clear and easy to read. The tachymeter offers quick speed calculations, while the shape is instantly recognisable and supremely comfortable. Its smaller size and smart design makes it a versatile watch capable of working well with both casual jeans and a formal suit. Here available in steel with a stunning Cerachrom bezel, this watch represents the Daytona's first major upgrade in 16 years, but it sticks closely to the gorgeous retro design of the original.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Kirium/WL511A.BA0701/1082/item/204363,Tag Heuer,Kirium,Kirium,WL511A.BA0701,GBP,875.00,875.00,Retail Price: Discontinued,,"
Year
 2003
","
Box
Yes
","

Papers


Yes
","
Product code
204363
","

Movement


Automatic
","
Case size
38 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Arabic
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Link/CJF2110.BA0576/3502/item/213761,Tag Heuer,Link,Link,CJF2110.BA0576,GBP,1350.00,1350.00,Retail Price: Discontinued,,"
Year
Approx.  2007
","
Box
No
","

Papers


No
","
Product code
213761
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Baton
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Aquaracer/CAF101B.BA0821/9068/item/218129,Tag Heuer,Aquaracer,Aquaracer,CAF101B.BA0821,GBP,1260.00,1260.00,Retail Price: Discontinued,,"
Year
 2008
","
Box
Yes
","

Papers


Yes
","
Product code
218129
","

Movement


Quartz
","
Case size
43 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Silver Baton
","
Water resistance
300 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Longines/Dolce%20Vita/L5.158.0.93.6/3586/item/212315,Longines,Dolce Vita,Dolce Vita,L5.158.0.93.6,GBP,1185.00,1185.00,Retail Price: Discontinued,,"
Year
 2010
","
Box
Yes
","

Papers


Yes
","
Product code
212315
","

Movement


Quartz
","
Case size
16 MM
","
Case material
Steel set with Diamonds
","
Bracelet material
Steel
","
Dial type
Mother of Pearl Pink - Diamond
","
Water resistance
30 metres
","This Longines has undergone a thorough inspection of accuracy, functionality and condition at our Longines certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Ronde%20Solo/WSRN0012/35318/item/216978,Cartier,Ronde Solo,Ronde Solo,WSRN0012,GBP,2950.00,2950.00,Retail Price: Discontinued,,"
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
216978
","

Movement


Automatic
","
Case size
36 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Oris/Aquis/798%207754%2041%2075/50763/item/209703,Oris,Aquis,Aquis,798 7754 41 75,GBP,2275.00,2275.00,Retail Price: Discontinued,,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
209703
","

Movement


Automatic
","
Case size
43.5 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
300 metres
","This Oris has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Longines/Evidenza/L2.643.4.73.4/9813/item/213306,Longines,Evidenza,Evidenza,L2.643.4.73.4,GBP,1800.00,1800.00,Retail Price: Discontinued," Brown 
","
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
213306
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Crocodile - Brown 
","
Dial type
White Arabic
","
Water resistance
None
","This Longines has undergone a thorough inspection of accuracy, functionality and condition at our Longines certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Raymond%20Weil/Maestro%20Automatic/2847-STC-30001/32235/item/212807,Raymond Weil,Maestro Automatic,Maestro Automatic,2847-STC-30001,GBP,700.00,700.00,Retail Price: Discontinued," Black
","
Year
Approx.  2017
","
Box
No
","

Papers


No
","
Product code
212807
","

Movement


Automatic
","
Case size
41.5 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Silver Baton
","
Water resistance
50 metres
","This Raymond Weil has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Panthere/W25030B6/27096/item/200576,Cartier,Panthere,Panthere,W25030B6,GBP,1725.00,1725.00,Retail Price: Discontinued,,"
Year
Approx.  1992
","
Box
No
","

Papers


No
","
Product code
200576
","

Movement


Quartz
","
Case size
23 MM
","
Case material
Steel & Yellow Gold
","
Bracelet material
Steel & Yellow Gold
","
Dial type
White Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Pasha/W3140008/15400/item/215650,Cartier,Pasha,Pasha,W3140008,GBP,2340.00,2340.00,Retail Price: Discontinued,,"
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
215650
","

Movement


Quartz
","
Case size
27 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Pink Quarter Arabic
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/WAH1314.BA0867/23415/item/218701,Tag Heuer,Formula 1,Formula 1,WAH1314.BA0867,GBP,1200.00,1200.00,Retail Price: Discontinued," Black & Steel
","
Year
 2013
","
Box
Yes
","

Papers


Yes
","
Product code
218701
","

Movement


Quartz
","
Case size
32 MM
","
Case material
Ceramic - Black & Steel
","
Bracelet material
Ceramic - Black & Steel
","
Dial type
Black Diamond
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Carrera%20Ladies/WBG1310.BA0758/35659/item/216079,Tag Heuer,Carrera Ladies,Carrera Ladies,WBG1310.BA0758,GBP,990.00,990.00,Retail Price: Discontinued,,"
Year
 2017
","
Box
Yes
","

Papers


Yes
","
Product code
216079
","

Movement


Quartz
","
Case size
36 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
100 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",https://images.watchfinder.co.uk/imgv2/catalogue/35659/TagHeuer-CarreraLadies-WBG1310.BA0758-35659-190710-081625-.jpg;quality=90;h=250,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Aquaracer/WAN2111.BA0822/23640/item/207736,Tag Heuer,Aquaracer,Aquaracer,WAN2111.BA0822,GBP,1390.00,1390.00,Retail Price: Discontinued,,"
Year
 2015
","
Box
No
","

Papers


Yes
","
Product code
207736
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
300 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/CAU111D.FT6024/29542/item/216332,Tag Heuer,Formula 1,Formula 1,CAU111D.FT6024,GBP,1405.00,1405.00,Retail Price: Discontinued," Black 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
216332
","

Movement


Quartz
","
Case size
42 MM
","
Case material
Titanium with PVD Coating
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
100 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Link/CJF2115.BA0594/5844/item/210646,Tag Heuer,Link,Link,CJF2115.BA0594,GBP,1445.00,1445.00,Retail Price: Discontinued,,"
Year
Approx.  2014
","
Box
No
","

Papers


No
","
Product code
210646
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Grey Baton
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Carrera/WV2116.FC6180/1575/item/218988,Tag Heuer,Carrera,Carrera,WV2116.FC6180,GBP,1325.00,1325.00,Retail Price: Discontinued," Black
","
Year
Approx.  2019
","
Box
No
","

Papers


No
","
Product code
218988
","

Movement


Automatic
","
Case size
39 MM
","
Case material
Steel
","
Bracelet material
Crocodile - Black
","
Dial type
Silver Baton
","
Water resistance
50 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Longines/Heritage/L2.783.4.53.0/53389/item/207015,Longines,Heritage,Heritage,L2.783.4.53.0,GBP,2020.00,2020.00,Retail Price: Discontinued," Black
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
207015
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Black Arabic
","
Water resistance
30 metres
","This Longines has undergone a thorough inspection of accuracy, functionality and condition at our Longines certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/Seamaster%20300m/2231.50.00/1128/item/213943,Omega,Seamaster 300m,Seamaster 300m,2231.50.00,GBP,3750.00,3750.00,Retail Price: Discontinued,,"
Year
 2004
","
Box
Yes
","

Papers


Yes
","
Product code
213943
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Titanium
","
Bracelet material
Titanium
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Raymond%20Weil/Freelancer/2780-STP-65001/41516/item/218331,Raymond Weil,Freelancer,Freelancer,2780-STP-65001,GBP,1485.00,1485.00,"Retail Price: £1,895",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
218331
","

Movement


Automatic
","
Case size
42.5 MM
","
Case material
Steel & Yellow Gold (Plated)
","
Bracelet material
Steel & Yellow Gold (Plated)
","
Dial type
Silver Baton
","
Water resistance
100 metres
","This Raymond Weil has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Chrono%20Cockpit/A13358/10545/item/217470,Breitling,Chrono Cockpit,Chrono Cockpit,A13358,GBP,6000.00,6000.00,Retail Price: Discontinued,,"
Year
 2008
","
Box
No
","

Papers


Yes
","
Product code
217470
","

Movement


Automatic
","
Case size
39 MM
","
Case material
Steel set with Diamonds
","
Bracelet material
Steel (Pilot)
","
Dial type
Mother of Pearl White - Diamond
","
Water resistance
100 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Calibre%20de%20Cartier/W7100056/24870/item/215867,Cartier,Calibre de Cartier,Calibre de Cartier,W7100056,GBP,4750.00,4750.00,Retail Price: Discontinued," Black 
","
Year
Approx.  2012
","
Box
Yes
","

Papers


No
","
Product code
215867
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Black Roman Numeral
","
Water resistance
300 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/CAU1111.BA0858/26831/item/215571,Tag Heuer,Formula 1,Formula 1,CAU1111.BA0858,GBP,1055.00,1055.00,Retail Price: Discontinued,,"
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
215571
","

Movement


Quartz
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
White Baton
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Aerospace/E75362/36258/item/218133,Breitling,Aerospace,Aerospace,E75362,GBP,1635.00,1635.00,Retail Price: Discontinued,,"
Year
 2002
","
Box
Yes
","

Papers


Yes
","
Product code
218133
","

Movement


Quartz Multi Function
","
Case size
40 MM
","
Case material
Titanium
","
Bracelet material
Titanium (Professional)
","
Dial type
Grey Quarter Arabic
","
Water resistance
100 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Formula%201%20Sparkling/WAH1312.BA0867/23394/item/212875,Tag Heuer,Formula 1 Sparkling,Formula 1 Sparkling,WAH1312.BA0867,GBP,1725.00,1725.00,Retail Price: Discontinued," Black & Steel
","
Year
 2015
","
Box
Yes
","

Papers


Yes
","
Product code
212875
","

Movement


Quartz
","
Case size
32 MM
","
Case material
Ceramic - Black & Steel set with Diamonds
","
Bracelet material
Ceramic - Black & Steel
","
Dial type
Black Diamond
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Classic%20Monza/CR2114.FC6165/1531/item/203722,Tag Heuer,Classic Monza,Classic Monza,CR2114.FC6165,GBP,2715.00,2715.00,Retail Price: Discontinued," Brown 
","
Year
 2003
","
Box
Yes
","

Papers


Yes
","
Product code
203722
","

Movement


Automatic
","
Case size
37.5 MM
","
Case material
Steel
","
Bracelet material
Crocodile - Brown 
","
Dial type
Silver
","
Water resistance
30 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Radiomir%20Manual/PAM00380/54132/item/214390,Panerai,Radiomir Manual,Radiomir Manual,PAM00380,GBP,3720.00,3720.00,Retail Price: Discontinued," Black
","
Year
Approx.  2017
","
Box
Yes
","

Papers


No
","
Product code
214390
","

Movement


Manual
","
Case size
45 MM
","
Case material
Steel
","
Bracelet material
Calf - Black
","
Dial type
Black Quarter Arabic
","
Water resistance
100 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Carrera/CBM2110.FC6454/45902/item/217803,Tag Heuer,Carrera,Carrera,CBM2110.FC6454,GBP,3530.00,3530.00,"Retail Price: £3,700"," Black 
","
Year
 2022
","
Box
Yes
","

Papers


Yes
","
Product code
217803
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Black Baton
","
Water resistance
100 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rado/Centrix/R30940132/29516/item/215823,Rado,Centrix,Centrix,R30940132,GBP,995.00,995.00,Retail Price: Discontinued," Platinum Plated 
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
215823
","

Movement


Automatic
","
Case size
28 MM
","
Case material
Ceramic - Platinum Plated
","
Bracelet material
Ceramic - Platinum Plated 
","
Dial type
Grey Baton
","
Water resistance
30 metres
","This Rado has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Aquaracer/WAN2110.BA0822/22157/item/202077,Tag Heuer,Aquaracer,Aquaracer,WAN2110.BA0822,GBP,1180.00,1180.00,Retail Price: Discontinued,,"
Year
Approx.  2012
","
Box
No
","

Papers


No
","
Product code
202077
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Baton
","
Water resistance
300 metres
","
                            A superb diving watch, TAG Heuer's Aquaracer was first launched in 2004 as an evolution of the equally superb Heuer 2000 divers conceived by Jack Heuer in the 1980s. The series was devoted to professionals and adventurers, as well as water-sportsmen of all kinds, and particularly sailors and yachtsmen. The watches have improved and evolved over the years, leading to a range of magnificent models like the one for sale here, with its unidirectional bezel, exceptionally legible design and superb finishing and craftsmanship. The piece maintains an excellent 300 meter water resistance, protecting the TAG Heuer Calibre 5 inside.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/CAH1210.BA0862/21814/item/216695,Tag Heuer,Formula 1,Formula 1,CAH1210.BA0862,GBP,845.00,845.00,Retail Price: Discontinued," Black & Steel
","
Year
Approx.  2014
","
Box
Yes
","

Papers


No
","
Product code
216695
","

Movement


Quartz
","
Case size
41 MM
","
Case material
Ceramic - Black & Steel
","
Bracelet material
Ceramic - Black & Steel
","
Dial type
Black
","
Water resistance
200 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Milgauss/116400/8074/item/218718,Rolex,Milgauss,Milgauss,116400,GBP,12930.00,12930.00,Retail Price: Discontinued,,"
Year
 2006
","
Box
Yes
","

Papers


Yes
","
Product code
218718
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
White Baton
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Ronde%20Solo/WSRN0022/35776/item/213940,Cartier,Ronde Solo,Ronde Solo,WSRN0022,GBP,2810.00,2810.00,"Retail Price: £3,200"," Black 
","
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
213940
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tissot/Sea-Touch/T026.420.11.051.00/13149/item/198929,Tissot,Sea-Touch,Sea-Touch,T026.420.11.051.00,GBP,430.00,430.00,Retail Price: Discontinued,,"
Year
 2010
","
Box
Yes
","

Papers


Yes
","
Product code
198929
","

Movement


Quartz
","
Case size
44 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Baton
","
Water resistance
200 metres
","This Tissot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Tank%20Solo/W5200013/15144/item/211182,Cartier,Tank Solo,Tank Solo,W5200013,GBP,2405.00,2405.00,Retail Price: Discontinued,,"
Year
 2017
","
Box
Yes
","

Papers


Yes
","
Product code
211182
","

Movement


Quartz
","
Case size
24 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Ronde%20Solo/W6701011/23713/item/215888,Cartier,Ronde Solo,Ronde Solo,W6701011,GBP,3000.00,3000.00,"Retail Price: £3,400",,"
Year
 2015
","
Box
Yes
","

Papers


Yes
","
Product code
215888
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Aquaracer/WAY1390.BH0716/30953/item/218070,Tag Heuer,Aquaracer,Aquaracer,WAY1390.BH0716,GBP,1495.00,1495.00,Retail Price: Discontinued," Black 
","
Year
 2017
","
Box
Yes
","

Papers


Yes
","
Product code
218070
","

Movement


Quartz
","
Case size
35 MM
","
Case material
Ceramic - Black
","
Bracelet material
Ceramic - Black 
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/IWC/Pilot's%20Mark%20XVIII/IW327009/39810/item/213061,IWC,Pilot's Mark XVIII,Pilot's Mark XVIII,IW327009,GBP,3750.00,3750.00,"Retail Price: £4,090"," Black 
","
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
213061
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Black Arabic
","
Water resistance
60 metres
","This IWC has undergone a thorough inspection of accuracy, functionality and condition at our IWC certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Bremont/GMT/ALT1-B/BK/25048/item/213351,Bremont,GMT,GMT,ALT1-B/BK,GBP,3700.00,3700.00,"Retail Price: £5,095"," Black 
","
Year
 2017
","
Box
Yes
","

Papers


Yes
","
Product code
213351
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel - Black PVD 
","
Bracelet material
Leather - Black 
","
Dial type
Black Arabic
","
Water resistance
100 metres
","This Bremont has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
